municipality_name_fi;municipality_name_sv;population_2001_12_31;region_name_fi;region_name_sv;
Espoo;Esbo;216836;Uusimaa;Nyland;
Hanko;Hangö;10008;Uusimaa;Nyland;
Helsinki;Helsingfors;559718;Uusimaa;Nyland;
Hyvinkää;Hyvinge;42736;Uusimaa;Nyland;
Inkoo;Ingå;4975;Uusimaa;Nyland;
Järvenpää;Träskända;36380;Uusimaa;Nyland;
Karjaa;Karis;8909;Uusimaa;Nyland;
Karjalohja;Karislojo;1435;Uusimaa;Nyland;
Karkkila;Högfors;8746;Uusimaa;Nyland;
Kauniainen;Grankulla;8543;Uusimaa;Nyland;
Kerava;Kervo;30482;Uusimaa;Nyland;
Kirkkonummi;Kyrkslätt;30274;Uusimaa;Nyland;
Lohja;Lojo;35527;Uusimaa;Nyland;
Mäntsälä;;16908;Uusimaa;Nyland;
Nummi-Pusula;;5905;Uusimaa;Nyland;
Nurmijärvi;;34029;Uusimaa;Nyland;
Pohja;Pojo;5011;Uusimaa;Nyland;
Pornainen;Borgnäs;4186;Uusimaa;Nyland;
Sammatti;;1253;Uusimaa;Nyland;
Siuntio;Sjundeå;4918;Uusimaa;Nyland;
Tammisaari;Ekenäs;14560;Uusimaa;Nyland;
Tuusula;Tusby;32915;Uusimaa;Nyland;
Vantaa;Vanda;179856;Uusimaa;Nyland;
Vihti;Vichtis;24214;Uusimaa;Nyland;
Askola;;4421;Itä-Uusimaa;Östra Nyland;
Lapinjärvi;Lappträsk;2995;Itä-Uusimaa;Östra Nyland;
Liljendal;Liljendal;1464;Itä-Uusimaa;Östra Nyland;
Loviisa;Lovisa;7498;Itä-Uusimaa;Östra Nyland;
Myrskylä;Mörskom;1974;Itä-Uusimaa;Östra Nyland;
Pernaja;Perna;3783;Itä-Uusimaa;Östra Nyland;
Porvoo;Borgå;45403;Itä-Uusimaa;Östra Nyland;
Pukkila;;1936;Itä-Uusimaa;Östra Nyland;
Ruotsinpyhtää;Strömfors;2967;Itä-Uusimaa;Östra Nyland;
Sipoo;Sibbo;17760;Itä-Uusimaa;Östra Nyland;
Alastaro;;3076;Varsinais-Suomi;Egentliga Finland;
Askainen;Villnäs;899;Varsinais-Suomi;Egentliga Finland;
Aura;;3378;Varsinais-Suomi;Egentliga Finland;
Dragsfjärd;;3461;Varsinais-Suomi;Egentliga Finland;
Halikko;;9209;Varsinais-Suomi;Egentliga Finland;
Houtskari;Houtskär;662;Varsinais-Suomi;Egentliga Finland;
Iniö;;238;Varsinais-Suomi;Egentliga Finland;
Kaarina;S:t Karins;20623;Varsinais-Suomi;Egentliga Finland;
Karinainen;;2457;Varsinais-Suomi;Egentliga Finland;
Kemiö;Kimito;3339;Varsinais-Suomi;Egentliga Finland;
Kiikala;;1892;Varsinais-Suomi;Egentliga Finland;
Kisko;;1933;Varsinais-Suomi;Egentliga Finland;
Korppoo;Korpo;968;Varsinais-Suomi;Egentliga Finland;
Koski Tl;;2553;Varsinais-Suomi;Egentliga Finland;
Kustavi;Gustavs;980;Varsinais-Suomi;Egentliga Finland;
Kuusjoki;;1855;Varsinais-Suomi;Egentliga Finland;
Laitila;;8779;Varsinais-Suomi;Egentliga Finland;
Lemu;;1494;Varsinais-Suomi;Egentliga Finland;
Lieto;Lundo;14380;Varsinais-Suomi;Egentliga Finland;
Loimaa;;7177;Varsinais-Suomi;Egentliga Finland;
Loimaan kunta;Loimaa kommun;6049;Varsinais-Suomi;Egentliga Finland;
Marttila;;2093;Varsinais-Suomi;Egentliga Finland;
Masku;;5535;Varsinais-Suomi;Egentliga Finland;
Mellilä;;1258;Varsinais-Suomi;Egentliga Finland;
Merimasku;;1444;Varsinais-Suomi;Egentliga Finland;
Mietoinen;;1736;Varsinais-Suomi;Egentliga Finland;
Muurla;;1441;Varsinais-Suomi;Egentliga Finland;
Mynämäki;;6170;Varsinais-Suomi;Egentliga Finland;
Naantali;Nådendal;13360;Varsinais-Suomi;Egentliga Finland;
Nauvo;Nagu;1428;Varsinais-Suomi;Egentliga Finland;
Nousiainen;Nousis;4203;Varsinais-Suomi;Egentliga Finland;
Oripää;;1317;Varsinais-Suomi;Egentliga Finland;
Paimio;Pemar;9792;Varsinais-Suomi;Egentliga Finland;
Parainen;Pargas;11973;Varsinais-Suomi;Egentliga Finland;
Perniö;Bjärnå;6133;Varsinais-Suomi;Egentliga Finland;
Pertteli;;3702;Varsinais-Suomi;Egentliga Finland;
Piikkiö;Pikis;6664;Varsinais-Suomi;Egentliga Finland;
Pyhäranta;;2267;Varsinais-Suomi;Egentliga Finland;
Pöytyä;;3691;Varsinais-Suomi;Egentliga Finland;
