name,gender,probability,n
A,male,0.705882352941177,34
A.,male,1,15
Aabel,male,1,51
Aabraham,male,1,78
Aabram,male,1,16
Aada,female,1,7833
Aada-Emilia,female,1,19
Aadaliina,female,1,12
Aadalmiina,female,1,11
Aadam,male,1,79
Aada-Maria,female,1,54
Aada-Sofia,female,1,37
Aadel,male,1,10
Aadi,male,1,16
Aadiel,male,1,21
Aadolf,male,1,463
Aadolfiina,female,1,18
Aage,male,1,23
Aagot,female,1,12
Aake,male,1,395
Aaku,male,1,40
Aala,female,1,17
Aale,male,0.9375,160
Aalia,female,1,26
Aaliyah,female,1,15
Aallotar,female,1,436
Aalo,female,1,11
Aalto,male,1,64
Aamina,female,1,17
Aamos,male,1,630
Aamu,female,1,838
Aamutähti,female,1,11
Aana,female,1,59
Äänis,male,1,32
Aapa,male,1,10
Aape,male,1,20
Aapel,male,1,11
Aapeli,male,1,2134
Aapi,male,1,48
Aapo,male,1,5750
Aapo-Matti,male,1,11
Aappi,male,1,11
Aappo,male,1,381
Aapraham,male,1,35
Aapram,male,1,32
Aaprami,male,1,149
Aapro,male,1,34
Aare,male,1,54
Aaret,male,1,34
Aaretti,male,1,192
Aari,male,1,58
Aaria,female,1,34
Aarika,female,1,14
Aarla,female,1,14
Aarne,male,1,9320
Aarnenpoika,male,1,16
Aarni,male,1,2205
Aarno,male,1,3038
Aaro,male,1,7467
Aaron,male,1,5444
Aaroni,male,1,33
Aaronpoika,male,1,17
Aarre,male,1,5313
Aarto,male,1,364
Aasa,female,1,26
Aatami,male,1,516
Aate,male,1,318
Aati,male,1,200
Aato,male,1,17
Aatos,male,1,7080
Aatto,male,1,942
Aatu,male,1,4646
Aava,female,1,2161
Aba,female,1,11
Abas,male,1,12
Abbas,male,0.801242236024845,161
Abbe,male,1,19
Abd,male,0.758620689655172,58
Abdalla,male,1,26
Abdallah,male,1,55
Abdel,male,1,70
Abdelaziz,male,1,25
Abdelghani,male,1,10
Abdelhamid,male,1,12
Abdelkader,male,1,18
Abdelkarim,male,1,18
Abdellah,male,1,22
Abdellatif,male,1,14
Abdelmajid,male,1,13
Abdelrahman,male,1,15
Abderrahim,male,1,15
Abderrahman,male,1,10
Abderrahmane,male,1,21
Abdi,male,0.597977243994943,791
Abdiasis,male,0.644444444444444,45
Abdiaziz,male,0.745762711864407,59
Abdifatah,male,0.816091954022989,87
Abdihakim,male,1,22
Abdihakin,male,1,10
Abdihamid,male,1,12
Abdikadir,male,0.578947368421053,38
Abdikarim,male,0.733333333333333,45
Abdikarin,male,0.533333333333333,45
Abdillahi,male,0.538461538461538,39
Abdimalik,male,1,19
Abdinasir,male,0.769230769230769,52
Abdinur,male,1,10
Abdiqani,male,1,25
Abdirahim,male,1,29
Abdirahmaan,male,1,16
Abdirahman,male,0.773694390715667,517
Abdirashid,male,0.566666666666667,120
Abdirazak,male,1,14
Abdirisak,male,0.746268656716418,67
Abdirisaq,male,0.583333333333333,36
Abdirizak,male,0.627272727272727,110
Abdisalam,male,0.652173913043478,46
Abdisamad,male,1,10
Abdishakur,male,1,18
Abdiwahab,male,1,11
Abdiwali,male,1,16
Abdiweli,male,0.615384615384615,26
Abdou,male,1,11
Abdoulie,male,1,13
Abdukadir,male,1,16
Abdul,male,0.859459459459459,185
Abdulaahi,male,1,10
Abdulahi,male,1,49
Abdulaziz,male,1,13
Abdulgadir,male,1,15
Abdulhamid,male,1,10
Abdulkadir,male,0.64026402640264,303
Abdulkarim,male,1,18
Abdulla,male,1,39
Abdullaahi,male,1,17
Abdullah,male,0.875675675675676,185
Abdullahi,male,0.651908396946565,655
Abdulle,female,0.525,40
Abdulqadir,male,1,17
Abdulrahman,male,1,36
Abdurahman,male,1,23
Abdurrahman,male,1,22
Abed,male,0.645833333333333,48
Abel,male,1,199
Abena,female,1,12
Abid,male,1,13
Abiel,male,1,87
Abigail,female,1,121
Abiodun,male,1,10
Abner,male,1,35
Abraham,male,1,354
Abram,male,1,94
Abshir,male,0.65,40
Abu,male,1,23
Abubakar,male,1,23
Abukar,male,0.60952380952381,105
Achieng,female,1,11
Achilles,male,1,13
Ada,female,1,3714
Ada-Emilia,female,1,26
Adalbert,male,1,17
Adalia,female,1,102
Adaliina,female,1,48
Adalina,female,1,15
Adalmiina,female,1,1573
Adalmina,female,1,260
Adam,male,0.982481751824818,1370
Adama,female,1,12
Ada-Maria,female,1,46
Adan,male,0.555555555555556,90
Adanna,female,1,52
Ada-Sofia,female,1,52
Adea,female,1,25
Adel,male,0.767123287671233,73
Adela,female,1,130
Adelaide,female,1,60
Adele,female,1,3213
Adéle,female,1,355
Adèle,female,1,58
Adelé,female,1,33
Adelea,female,1,25
Adelei,female,1,17
Adelein,female,1,27
Adeleine,female,1,30
Adelheid,female,1,19
Adelia,female,1,364
Adelie,female,1,27
Adeliina,female,1,869
Adelin,female,1,17
Adelina,female,1,522
Adeline,female,1,103
Adella,female,1,62
Adelle,female,1,33
Adelma,female,1,12
Adelmiina,female,1,11
Adem,male,1,31
Aden,male,0.688888888888889,135
Adessa,female,1,174
Adette,female,1,17
Adi,male,0.777777777777778,45
Adiel,male,1,260
Adil,male,0.818181818181818,77
Adile,female,1,25
Adina,female,1,284
Adine,female,1,28
Adjoa,female,1,10
Adna,female,1,38
Adnaan,male,1,10
Adnan,male,0.877049180327869,122
Adolf,male,1,1159
Adolfiina,female,1,227
Adolfina,female,1,76
Adolfo,male,1,15
Adonika,female,1,23
Adonis,male,1,12
Adora,female,1,17
Adrian,male,1,894
Adrián,male,1,11
Adriana,female,1,201
Adrianna,female,1,16
Adriano,male,1,20
Adrien,male,1,18
Adrienne,female,1,25
Afnaan,female,1,11
Afrim,male,1,21
Agafia,female,1,30
Agape,female,1,10
Agata,female,1,66
Agatha,female,1,72
Agathon,male,1,16
Agda,female,1,138
Age,male,1,16
Agim,male,1,21
Agne,female,1,11
Agneeta,female,1,15
Agneetta,female,1,15
Agnes,female,1,768
Ágnes,female,1,13
Agnesa,female,1,22
Agneta,female,1,1348
Agnete,female,1,42
Agnetha,female,1,34
Agnetta,female,1,10
Agnia,female,1,23
Agnieszka,female,1,25
Agon,male,1,10
Agostino,male,1,12
Agron,male,1,12
Agustin,male,1,12
Ahlam,female,1,11
Ahmad,male,0.941747572815534,309
Ahmed,male,0.725195429945881,1663
Ahmet,male,1,75
Ahti,male,1,5748
Ahto,male,1,168
Ahvo,male,1,45
Ai,female,1,29
Aia,female,1,10
Aicha,female,1,82
Aida,female,1,911
Aidan,male,1,64
Aiden,male,1,31
Aidi,female,1,11
Aihe,male,1,13
Aija,female,1,2245
Aija-Leena,female,1,37
Aija-Liisa,female,1,26
Aija-Riitta,female,1,15
Aiju,female,1,30
Aiko,female,1,21
Aila,female,1,12695
Ailakki,female,1,48
Aile,female,1,27
Áile,female,1,11
Aileen,female,1,21
Aili,female,1,7378
Ailiina,female,1,42
Ailikki,female,1,43
Ailin,female,1,16
Ailo,male,1,60
Ailu,male,1,29
Aiman,male,1,27
Aime,female,1,17
Aimee,female,1,21
Aimée,female,1,17
Aimi,female,1,48
Aimo,male,1,6870
Aimonpoika,male,1,10
Aina,female,1,759
Aina-Maria,female,1,15
Ainamo,female,1,92
Aini,female,1,2818
Ainikki,female,1,387
Aino,female,1,35905
Aino-Elina,female,1,67
Aino-Elisa,female,1,11
Aino-Emilia,female,1,35
Aino-Helena,female,1,12
Aino-Ilona,female,1,23
Aino-Inkeri,female,1,44
Aino-Kaarina,female,1,11
Ainokaisa,female,1,25
Aino-Kaisa,female,1,152
Aino-Leena,female,1,29
Ainoliina,female,1,20
Aino-Liina,female,1,11
Ainoliisa,female,1,21
Aino-Liisa,female,1,74
Aino-Lotta,female,1,10
Aino-Maaria,female,1,17
Ainomaija,female,1,52
Aino-Maija,female,1,260
Ainomari,female,1,17
Aino-Mari,female,1,30
Ainomaria,female,1,48
Aino-Maria,female,1,295
Aino-Marja,female,1,31
Aino-Marjatta,female,1,10
Aino-Riitta,female,1,14
Aino-Sisko,female,1,13
Aino-Sofia,female,1,73
Ainu,female,1,105
Aira,female,1,4804
Aira-Liisa,female,1,13
Aire,female,1,48
Airi,female,1,7369
